,userId,count_of,challenges_cat,tagged
0,00bd173704c04d4a8e2c05e43856e1b8,"[490.0, 490.0]","['Love', 'MentalHealth']","[{'Love': 490.0}, {'MentalHealth': 490.0}]"
1,00d88791e1464109885139e0cafb5e6b,"[1005.0, 695.0, 514.0, 350.0, 343.0, 239.0, 238.0, 225.0, 212.0, 211.0]","['Education', 'SocialMedia', 'GenderDynamics', 'Covid', 'Love', 'Marriage', 'Empowerment', 'FamilyRelationships', 'Parenting', 'Inlaws']","[{'Education': 1005.0}, {'SocialMedia': 695.0}, {'GenderDynamics': 514.0}, {'Covid': 350.0}, {'Love': 343.0}, {'Marriage': 239.0}, {'Empowerment': 238.0}, {'FamilyRelationships': 225.0}, {'Parenting': 212.0}, {'Inlaws': 211.0}]"
2,01b10c4f67e544949d9306a10e437d20,"[7447.0, 6477.0, 5622.0, 5061.0, 4759.0, 4638.0, 4638.0, 1441.0, 878.0, 518.0]","['Marriage', 'Love', 'Strength', 'Education', 'SelfCare', 'Empowerment', 'Religion', 'Emotions', 'MentalHealth', 'GenderDynamics']","[{'Marriage': 7447.0}, {'Love': 6477.0}, {'Strength': 5622.0}, {'Education': 5061.0}, {'SelfCare': 4759.0}, {'Empowerment': 4638.0}, {'Religion': 4638.0}, {'Emotions': 1441.0}, {'MentalHealth': 878.0}, {'GenderDynamics': 518.0}]"
3,01b11294b4494220b2c7ee55df673b8a,"[59.0, 59.0, 18.0, 18.0, 18.0, 18.0]","['SelfCare', 'Strength', 'Communication', 'Education', 'Finance', 'Marriage']","[{'SelfCare': 59.0}, {'Strength': 59.0}, {'Communication': 18.0}, {'Education': 18.0}, {'Finance': 18.0}, {'Marriage': 18.0}]"
4,0206a5791dd74797a6348abbb97f29e3,"[12.0, 12.0]","['Marriage', 'Parenting']","[{'Marriage': 12.0}, {'Parenting': 12.0}]"
5,027708e3595f45859504d137416a8dfe,"[113.0, 113.0, 113.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 18.0]","['Communication', 'Love', 'SelfCare', 'BabyCare', 'Breastfeeding', 'HealthWellness', 'Hygiene', 'PottyTraining', 'Sleep', 'Parenting']","[{'Communication': 113.0}, {'Love': 113.0}, {'SelfCare': 113.0}, {'BabyCare': 20.0}, {'Breastfeeding': 20.0}, {'HealthWellness': 20.0}, {'Hygiene': 20.0}, {'PottyTraining': 20.0}, {'Sleep': 20.0}, {'Parenting': 18.0}]"
6,027b4a075fc04ce6ba4e63df6c289834,"[6.0, 6.0, 6.0]","['Education', 'Marriage', 'Strength']","[{'Education': 6.0}, {'Marriage': 6.0}, {'Strength': 6.0}]"
7,02a56c794fc44f508e2fd9cab2f172e5,"[334.0, 334.0, 334.0, 334.0, 334.0, 334.0, 334.0]","['Grief', 'Love', 'Marriage', 'Motherhood', 'Parenting', 'Relationship', 'Strength']","[{'Grief': 334.0}, {'Love': 334.0}, {'Marriage': 334.0}, {'Motherhood': 334.0}, {'Parenting': 334.0}, {'Relationship': 334.0}, {'Strength': 334.0}]"
8,02b8b165e04045f8a00529e6069b9189,[4.0],['Motherhood'],[{'Motherhood': 4.0}]
9,0304771dc9fa478caed4340c50b77b81,"[363.0, 338.0, 338.0, 175.0, 114.0, 68.0, 64.0, 55.0, 34.0, 30.0]","['HealthyEating', 'Cooking', 'Ingredient', 'Exercise', 'HealthWellness', 'Festivals', 'Vegetarian', 'MentalHealth', 'Love', 'Emotions']","[{'HealthyEating': 363.0}, {'Cooking': 338.0}, {'Ingredient': 338.0}, {'Exercise': 175.0}, {'HealthWellness': 114.0}, {'Festivals': 68.0}, {'Vegetarian': 64.0}, {'MentalHealth': 55.0}, {'Love': 34.0}, {'Emotions': 30.0}]"
